word	opinion	comment
Hun	not abusive	
Jap	mildly abusive	"I assume this is in reference to Japanese individuals  which has still the connotation from WWII when used, but do note that JAP can stand for “Jewish American Princess” which is often used with a pejorative connotation,"
Jihadi	not abusive	
Yardie	mildly abusive	I had to look this up and perhaps pejorative to a Jamaican
abhor	not abusive	
abominable	not abusive	
abomination	not abusive	
abusive	not abusive	
affront	not abusive	
agitator	not abusive	
aloof	not abusive	
ambush	not abusive	
anarchist	not abusive	
annihilate	not abusive	
appalled	not abusive	
arrogance	not abusive	
arrogant	not abusive	
arse	mildly abusive	
ashamed	not abusive	
asinine	not abusive	
ass	mildly abusive	
assassinate	not abusive	
assault	not abusive	
asshole	mildly abusive	
atrocity	not abusive	
attack	not abusive	
avarice	not abusive	
avaricious	not abusive	
awful	not abusive	
awfulness	not abusive	
awkward	not abusive	
backbiting	not abusive	
backward	not abusive	
bampot	mildly abusive	I had to look this up and perhaps pejorative to a Scot
barbaric	not abusive	
barbarous	not abusive	
bastard	not abusive	
beaner	not abusive	
beast	not abusive	
beastly	not abusive	
belittle	not abusive	
bestial	not abusive	
betrayer	not abusive	
bint	very abusive	I had to look this up and clearly pejorative in UK
bitch	very abusive	
bitter	not abusive	
blab	not abusive	
blabber	not abusive	
blaspheme	not abusive	
blasphemy	not abusive	
blather	not abusive	
blind	not abusive	
bloodthirsty	not abusive	
bogan	mildly abusive	I had to look this up and perhaps pejorative in Australia and New Zealand
bogus	not abusive	
bollocks	not abusive	
bombardment	not abusive	
boner	not abusive	
botch	not abusive	
braggart	not abusive	
bravado	not abusive	
brutality	not abusive	
brute	not abusive	
buckra	mildly abusive	I had to look this up and perhaps pejorative to southeast US Blacks
bugger	not abusive	
bullshit	not abusive	
bully	not abusive	
bungler	not abusive	
burdensome	not abusive	
burrhead	very abusive	I had to look this up and clearly pejorative in UK
butchery	not abusive	
cancer	not abusive	
cancerous	not abusive	
cannibalize	not abusive	
capricious	not abusive	
capriciousness	not abusive	
careless	not abusive	
carelessness	not abusive	
carnage	not abusive	
celesbian	not abusive	
charva	mildly abusive	
charver	mildly abusive	
chav	mildly abusive	
cheat	not abusive	
cheat	not abusive	
chonky	not abusive	
chug	not abusive	
cliche	not abusive	
clumsy	not abusive	
cock	not abusive	though considered vulgar
cocky	not abusive	
cold	not abusive	
complacent	not abusive	
conceited	not abusive	
contempt	not abusive	
coolie	mildly abusive	I had to look this up and perhaps pejorative in India
coon	mildly abusive	I had to look this up and perhaps pejorative to Blacks
cooter	not abusive	though considered vulgar
corrosive	not abusive	
cracker	mildly abusive	
crap	not abusive	
crass	not abusive	
craziness	not abusive	
cringe	not abusive	
cripple	not abusive	
cripple	not abusive	
crude	not abusive	
cruel	not abusive	
cuck	mildly abusive	
cunt	very abusive	if used as an insult
curse	not abusive	
cursed	not abusive	
dago	mildly abusive	I had to look this up and perhaps pejorative to Italians
damn	not abusive	
darkey	mildly abusive	
darkie	mildly abusive	
dawdle	not abusive	
debauchery	not abusive	
deceitful	not abusive	
delinquent	not abusive	
deluded	not abusive	
demean	not abusive	
demonize	not abusive	
denigrate	not abusive	
despotic	not abusive	
despotism	not abusive	
destroy	not abusive	
destructive	not abusive	
detest	not abusive	
detestable	not abusive	
devil	mildly abusive	if used as an insult
dhimmi	not abusive	
diabolic	not abusive	
diatribe	not abusive	
dick	mildly abusive	if used as an insult
dictatorial	not abusive	
dinge	mildly abusive	I had to look this up and perhaps pejorative to Blacks
dink	not abusive	
disbeliever	not abusive	
discouraging	not abusive	
disdainful	not abusive	
disgraceful	not abusive	
disgust	not abusive	
disgusted	not abusive	
dishonest	not abusive	
dishonesty	not abusive	
dishonor	not abusive	
disillusion	not abusive	
disintegrate	not abusive	
disloyalty	not abusive	
dismal	not abusive	
disrespect	not abusive	
disrespectful	not abusive	
distasteful	not abusive	
div	not abusive	
douchbag	mildly abusive	if used as an insult
dragon	not abusive	
drain	not abusive	
dubious	not abusive	
dud	not abusive	
dullard	mildly abusive	if used as an insult
dumb	mildly abusive	if used as an insult
dumbass	mildly abusive	if used as an insult
dummy	mildly abusive	if used as an insult
dunce	mildly abusive	if used as an insult
dupe	not abusive	
dyke	mildly abusive	if used as an insult
earsplitting	not abusive	
effrontery	not abusive	
egomania	not abusive	
egotism	not abusive	
egotistical	not abusive	
embarrassing	not abusive	
embarrassment	not abusive	
enslave	not abusive	
envious	not abusive	
envy	not abusive	
envy	not abusive	
evil	not abusive	
evildoer	not abusive	
eviscerate	not abusive	
exploitation	not abusive	
exterminate	not abusive	
eyetie	mildly abusive	I had to look this up and perhaps pejorative to Italians
fabricate	not abusive	
fag	very abusive	also term for cigarette in UK
faggot	very abusive	
fail	not abusive	
fanny	not abusive	
fart	not abusive	
fart	not abusive	
fatalistic	not abusive	
feeble	not abusive	
felon	not abusive	
felonious	not abusive	
fetid	not abusive	
fibber	not abusive	
fiend	mildly abusive	if used as an insult
filthy	not abusive	
finocchio	mildly abusive	I had to look this up and perhaps pejorative to gay individual (from Italian)
flaky	not abusive	
flamer	mildly abusive	if used as an insult
flid	mildly abusive	I had to look this up and perhaps pejorative in UK
foolishness	not abusive	
foul	not abusive	
foulness	not abusive	
fraudulent	not abusive	
freakish	not abusive	
frigid	not abusive	
frocio	mildly abusive	I had to look this up and perhaps pejorative to gay individual (from Italian)
fuck	not abusive	
fuck	not abusive	
gauche	not abusive	
geezer	not abusive	
genocide	not abusive	
gibber	not abusive	
ginger	not abusive	
ginzo	mildly abusive	I had to look this up and perhaps pejorative to Italians
gippo	mildly abusive	I had to look this up and perhaps pejorative to Romas
gobber	not abusive	
goof	not abusive	
gook	mildly abusive	I had to look this up and perhaps pejorative to those of SE Asian descent
gossip	not abusive	
gossip	not abusive	
graceless	not abusive	
greaseball	mildly abusive	I had to look this up and perhaps pejorative to those from Latin American or Mediterranean
greed	not abusive	
grimace	not abusive	
gringo	mildly abusive	
groid	mildly abusive	I had to look this up and perhaps pejorative to Blacks
grotesque	not abusive	
grouch	not abusive	
grouchy	not abusive	
gruesome	not abusive	
gubba	mildly abusive	I had to look this up and perhaps pejorative in Australia and New Zealand
gurrier	mildly abusive	I had to look this up and perhaps pejorative in Ireland
gyp	not abusive	
gyppo	mildly abusive	I had to look this up and perhaps pejorative to Romas
hairyback	mildly abusive	
halfhearted	not abusive	
halfrican	mildly abusive	
haphazard	not abusive	
harridan	not abusive	
hate	not abusive	
hateful	not abusive	
