,word,dante,schaede,dd,avg,var,class
0,Hun,0.0,0.0,0,0.0,0.0,False
1,Jap,2.0,2.0,1,1.6666666666666667,0.2222222222222222,True
2,Jihadi,1.0,2.0,0,1.0,0.6666666666666666,True
3,Yardie,1.0,1.0,1,1.0,0.0,True
4,abhor,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
5,abominable,1.0,0.0,0,0.3333333333333333,0.22222222222222224,False
6,abomination,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
7,abusive,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
8,affront,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
9,agitator,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
10,aloof,0.0,0.0,0,0.0,0.0,False
11,ambush,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
12,anarchist,0.0,0.0,0,0.0,0.0,False
13,annihilate,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
14,appalled,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
15,arrogance,0.0,0.0,0,0.0,0.0,False
16,arrogant,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
17,arse,1.0,1.0,1,1.0,0.0,True
18,ashamed,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
19,asinine,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
20,ass,1.0,1.0,1,1.0,0.0,True
21,assassinate,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
22,assault,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
23,asshole,2.0,1.0,1,1.3333333333333333,0.2222222222222222,True
24,atrocity,1.0,0.0,0,0.3333333333333333,0.22222222222222224,False
25,attack,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
26,avarice,1.0,0.0,0,0.3333333333333333,0.22222222222222224,False
27,avaricious,1.0,0.0,0,0.3333333333333333,0.22222222222222224,False
28,awful,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
29,awfulness,0.0,0.0,0,0.0,0.0,False
30,awkward,0.0,0.0,0,0.0,0.0,False
31,backbiting,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
32,backward,0.0,0.0,0,0.0,0.0,False
33,bampot,1.0,1.0,1,1.0,0.0,True
34,barbaric,1.0,0.0,0,0.3333333333333333,0.22222222222222224,False
35,barbarous,0.0,0.0,0,0.0,0.0,False
36,bastard,2.0,1.0,0,1.0,0.6666666666666666,True
37,beaner,2.0,2.0,0,1.3333333333333333,0.888888888888889,True
38,beast,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
39,beastly,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
40,belittle,0.0,0.0,0,0.0,0.0,False
41,bestial,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
42,betrayer,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
43,bint,1.0,1.0,2,1.3333333333333333,0.2222222222222222,True
44,bitch,2.0,1.0,2,1.6666666666666667,0.2222222222222222,True
45,bitter,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
46,blab,0.0,0.0,0,0.0,0.0,False
47,blabber,0.0,0.0,0,0.0,0.0,False
48,blaspheme,0.0,0.0,0,0.0,0.0,False
49,blasphemy,0.0,0.0,0,0.0,0.0,False
50,blather,0.0,0.0,0,0.0,0.0,False
51,blind,0.0,0.0,0,0.0,0.0,False
52,bloodthirsty,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
53,bogan,1.0,0.0,1,0.6666666666666666,0.22222222222222224,True
54,bogus,0.0,0.0,0,0.0,0.0,False
55,bollocks,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
56,bombardment,0.0,0.0,0,0.0,0.0,False
57,boner,0.0,0.0,0,0.0,0.0,False
58,botch,0.0,0.0,0,0.0,0.0,False
59,braggart,0.0,1.0,0,0.3333333333333333,0.22222222222222224,False
60,bravado,0.0,0.0,0,0.0,0.0,False
61,brutality,0.0,0.0,0,0.0,0.0,False
62,brute,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
63,buckra,1.0,1.0,1,1.0,0.0,True
64,bugger,1.0,1.0,0,0.6666666666666666,0.22222222222222224,True
